medical_abstract,triage_level,urgent_score,nonurgent_score,confidence,binary_prediction,n_tokens,was_truncated,original_condition_labels,original_condition_names,original_splits,pseudolabel_model,pseudolabel_threshold,max_length
"Airway inflammation during late asthmatic reactions induced by toluene diisocyanate. To determine the importance of airway inflammation for the development of late asthmatic reactions, we examined sensitized subjects during late asthmatic reactions induced by exposure to toluene diisocyanate (TDI) in the laboratory. Late asthmatic reactions are associated with a transient increase of bronchial responsiveness and, at the same time, with an increase of neutrophils followed by eosinophils, and of LTB4 and albumin in bronchoalveolar lavage fluid. Late asthmatic reactions, increased bronchial responsiveness, and increase of neutrophils, eosinophils, LTB4, and albumin concentration in bronchoalveolar lavage induced by exposure to TDI are all prevented by pretreatment with prednisone but not with the nonsteroidal anti-inflammatory agent indomethacin. Aerosolized steroids (beclomethasone and dexamethasone isonicotinate) completely inhibit late asthmatic reactions induced by TDI, whereas theophylline has a partial, and verapamil, ketotifen, and cromolyn have no protective effect. These results suggest that late asthmatic reactions induced by TDI may be caused by airway inflammation, and that anti-inflammatory steroids should be recommended in the prophylaxis of TDI asthma.",normal,0.2693834900856018,0.7306164503097534,0.7306164503097534,non-urgent,338,True,5,general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"(A)typical symptoms during single needle dialysis. In 5 elderly patients, an abnormally high occurrence of some symptoms was noted during dialysis. All patients were dialyzed with biocompatible membranes, bicarbonate dialysate, and a blood flow of 250 to 300 ml/min by a single needle system, on a fistula 14 Gauge catheter-needle. These symptoms were: 1) ""angina,"" resistant to O2 and nitrates, with biochemical stigmata of infarction, but without electrocardiogram (ECG) localization; 2) intractable persistent hypotension, not hypovolemic, lasting 1 or 2 days; 3) esophagal spasms, with inability to swallow solid food. Because we knew that these symptoms were compatible with hemolysis (biochemically proven by the increase in serum LDH during dialysis and by a fall in haptoglobin) due to red cell fragmentation (RCF), we switched these patients from fistula dialysis (A) to central catheter dialysis (B), with the same apperture, blood flow, etc. The total number of sessions of A versus B were 512 and 891; the mean LDH ratios (serum LDH postdialysis divided by predialysis) were 1.8 and 1.0 (= no RCF); angina events were 132 (26%) for A, and 25 (3%) for B; persistent hypotension was seen 37 (7%) times in A and 5 (0.6%) times in B; esophagal spasms were noted 65 (13%) times for A, and 0 times for B. This clinical improvement was so overwhelming that 3 patients refused to be dialyzed again using their well functioning fistulae. This study also proved the need for a better designed and manufactured peripheral dialysis catheter-needle.",urgente,0.7635987997055054,0.2364011853933334,0.7635987997055054,urgent,437,True,2|4|5,digestive system diseases|cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A simple score for the identification of patients at high risk of organic diseases of the colon in the family doctor consulting room. The Local IBS Study Group. In order to develop a scoring system for selecting patients at high risk of organic diseases of the colon, who would need a colonoscopy or a barium enema, we conducted a study with 14 GPs in the local health care district of Modena. Over one year, 254 consecutive patients who consulted their GP for chronic abdominal pain were asked to answer a guided questionnaire. A checklist of simple parameters suggestive of the presence of organic diseases of the colon was also registered by the GP. For the final diagnosis, the patients underwent either a colonoscopy or a barium enema. Data collected were analysed by means of a stepwise logistic regression analysis to obtain a weighted score for the diagnosis of either irritable bowel syndrome (score less than 0) or organic disease (score greater than 0). Out of the 25 parameters explored, six were significantly more common among patients with organic disease and weighted as positive score (namely ESR greater than 17 mm, first hour, history of blood in the stool, leukocytosis greater than 10,000 cm3, age greater than 45 years, slight fever and presence of neoplastic colonic diseases in first-degree relatives). On the contrary, five parameters were more frequent among patients with irritable bowel syndrome and weighted as negative score (namely visible distension of the abdomen, feeling of distension, presence of irritable bowel syndrome in first degree relatives, flatulence and irregularities of bowel movement). Our scoring system correctly classified 83.5% of the cases, and it was very sensitive (82.4%) for the diagnosis of organic disease.",normal,0.088080383837223,0.9119195938110352,0.9119195938110352,non-urgent,381,True,2,digestive system diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute compartment syndrome. Effect of dermotomy on fascial decompression in the leg. Prompt surgical decompression is the only means of preventing the late sequelae of ischaemic contracture in post-traumatic compartment syndromes. However, controversy exists regarding the length of dermotomy required for adequate decompression in the lower extremity. This study investigated the skin envelope as a potential contributing factor. Wide fascial releases were performed through limited 8 cm incisions in eight cases of post-traumatic lower extremity compartment syndrome. In nine of 29 compartments the pressure remained greater than 30 mmHg. Lengthening the skin incisions to an average of 16 cm decreased intracompartmental pressures significantly. This study documents the skin envelope as a contributing factor in acute compartment syndromes of the leg. The use of generous skin incisions is supported and the need for intra-operative compartment pressure measurements in the treatment of this condition is emphasised.",atenção,0.5016089677810669,0.4983910322189331,0.5016089677810669,urgent,210,False,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A multicenter study of doxazosin in the treatment of essential hypertension in France. This study was designed to assess the efficacy and tolerance of doxazosin in patients with mild, moderate, or severe essential hypertension in a general practice setting. Ninety-six adults of a mean age of 55 1/2 years took part in the 14-week study, consisting of a placebo phase (2 weeks), a dose-adjustment phase with doxazosin (8 weeks), and a maintenance phase (4 weeks). Doxazosin, at a final mean daily dose of 3.4 mg, produced a significant (p less than 0.05) reduction in blood pressure at all points of measurement during the study. The mean change in sitting blood pressure at the end of treatment was -15.4/-15.8 mm Hg. Of the 85 patients who could be categorized as a success or failure, 78 (92%) were considered a therapeutic success; 78 (89%) of the 88 efficacy-evaluable patients demonstrated an improvement in the severity category of their hypertension. Treatment with doxazosin produced a reduction in serum cholesterol (-3.1%) and triglyceride (-3.8%) levels, although these changes did not attain statistical significance. The calculated probability of developing coronary heart disease in 10 years (according to the Framingham equation) was significantly (p less than 0.001) reduced by 22%, from 16.7 chances per 100 (baseline) to 14.3 chances per 100 (final visit). Twenty-six patients (27.1%) reported side effects that were possibly related to treatment, the most prevalent of which were vertigo (7.3%) and headache (6.3%). In four (4.2%) patients the dose of doxazosin was reduced and two (2.1%) were withdrawn prematurely. The investigator's assessments of tolerance was reduced and two (2.1%) were considered to be excellent or good in 85 (88%) patients.",normal,0.1299379169940948,0.8700621128082275,0.8700621128082275,non-urgent,454,True,4,cardiovascular diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acetylsalicylic acid vs. metoprolol in migraine prophylaxis--a double-blind cross-over study. In a double blind cross-over study, 28 patients, 5 male and 23 female, aged 31 +/- 14 years, after a run-in period of 8 weeks, were treated for 3 months with acetylsalicylic acid and for another 3 months with metoprolol, both in a prophylactic mode. Attack frequency was reduced significantly with both therapeutic regimens (ASA p less than 0.001, metoprolol p less than 0.00005). Reduction of attacks below 50% was seen with metoprolol in 14 cases, and with ASA in three cases. Even though ASA was of statistically significant efficacy in migraine prophylaxis, it clearly is not the drug of first choice in migraine prophylaxis.",normal,0.0950759872794151,0.9049240350723268,0.9049240350723268,non-urgent,200,False,3|5,nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A paradigm for restenosis based on cell biology: clues for the development of new preventive therapies. Angioplasty causes substantial injury to the coronary artery intima and media that is unrecognizable by angiography. On the basis of a substantial body of research in oncology and wound healing, it is hypothesized that restenosis is a manifestation of the general wound healing response expressed specifically in vascular tissue. The temporal response to injury occurs in three characteristic phases: inflammation, granulation and extracellular matrix remodeling. The specific expression of these phases in the coronary artery leads to intimal hyperplasia at 1 to 4 months. The major milestones in the temporal sequence of restenosis are platelet aggregation, inflammatory cell infiltration, release of growth factors, medial smooth muscle cell modulation and proliferation, proteoglycan deposition and extracellular matrix remodeling. Each step has potential inhibitors that could be used for preventive therapy. Resolution of restenosis, however, probably requires both creation of the largest possible residual lumen and substantial inhibition of intimal hyperplasia.",normal,0.1818152368068695,0.8181847929954529,0.8181847929954529,non-urgent,254,False,4|5,cardiovascular diseases|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Aerobic and anaerobic microbiology of acute suppurative parotitis. Aspirates of pus from acute suppurative parotitis were studied for aerobic and anaerobic bacteria. Bacterial growth was present in 23 specimens. A total of 36 bacterial isolates (20 anaerobic and 16 aerobic and facultative) were recovered, accounting for 1.6 isolates per specimen (0.9 anaerobic and 0.7 aerobic and facultative). Anaerobic bacteria only were present in 10 (43%) patients, aerobic and facultatives in 10 (43%), and mixed aerobic and anaerobic flora in 3 (13%). Single bacterial isolates were recovered in 9 infections, 6 of which were Staphylococcus aureus and 3 were anaerobic bacteria. The predominant bacterial isolates were S. aureus (8 isolates), Bacteroides sp. (6 isolates, including 4 Bacteroides melaninogenicus group), and Peptostreptococcus sp. (5). beta-Lactamase-producing organisms were recovered from 11 (73%) of the 15 specimens tested. This study highlights the polymicrobial nature and importance of anaerobic bacteria in acute suppurative parotitis.",atenção,0.5004298686981201,0.4995701313018799,0.5004298686981201,urgent,311,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
Acute oculogyric crisis after administration of prochlorperazine. We report a case of acute oculogyric crisis due to prochlorperazine administration in a young black woman with a concomitant viral infection. Neuroleptic medications are the most common cause of drug-induced acute dystonic reactions such as oculogyric crisis. Prochlorperazine is an antiemetic agent with a phenothiazine-type chemical structure and is known to cause dystonic reactions. Drug-induced acute dystonic reactions are most common in young adults and in men. Viral infections may also predispose patients to these adverse reactions. Caution is warranted when this drug is used in patients who have other risk factors for an acute dystonic reaction.,urgente,0.8103124499320984,0.1896875351667404,0.8103124499320984,urgent,176,False,3|5,nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A study of the comparative efficacy of four common analgesics in the control of postsurgical dental pain. Four common oral analgesics were tested in a single-blind trial to determine their relative efficacy in the management of postsurgical pain in 103 patients who had their impacted third molars surgically removed under general anesthesia. The analgesics tested were acetylsalicylic acid (26 patients), ibuprofen (26 patients), a paracetamol/codeine/caffeine combination (Solpadeine) (25 patients), and dihydrocodeine (26 patients). The paracetamol/codeine/caffeine combination, ibuprofen, and acetylsalicylic acid preparations produced equally effective analgesia. Dihydrocodeine was found to be a poor analgesic in this pain model. There were no adverse reactions to any of the preparations.",normal,0.2012229710817337,0.7987770438194275,0.7987770438194275,non-urgent,202,False,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute autonomic neuropathy. Two cases and a clinical review. Acute autonomic neuropathy is an uncommon syndrome, usually affecting healthy young people. Presentation is often dramatic and initial misdiagnosis is common. We describe two young women with acute autonomic neuropathy who presented with gastrointestinal involvement heralding widespread dysautonomia and review 26 additional cases of acute autonomic neuropathy from the English language literature. Acute autonomic neuropathy can be primarily cholinergic without orthostatic hypotension (26%) or pandysautonomic (74%) involving sympathetic adrenergic functions. Onset has been temporally related to viral syndromes in 20% of cases, with autonomic deficits usually evolving over 1 to 3 weeks. Gastroparesis (69%) and syncope (12%) are frequent presenting complaints. Spinal fluid protein levels are often (75%) elevated in pandysautonomic subtypes. Prolonged and incomplete recovery is the rule (60%), with persistent gastroparesis and orthostatic hypotension. Other specific diseases that occasionally mimic acute autonomic neuropathy include botulism, porphyria, amyloidosis, and paracarcinomatous neuropathies. Acute autonomic neuropathy shares several clinical features with acute idiopathic polyneuropathy (Guillain-Barre syndrome), suggesting an immune-mediated pathogenesis.",urgente,0.8611112236976624,0.1388887614011764,0.8611112236976624,urgent,337,True,2|3|4|5,digestive system diseases|nervous system diseases|cardiovascular diseases|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute upper airway obstruction following Teflon injection of a vocal cord; the value of nebulized adrenaline and a helium/oxygen mixture in its management A 67-year-old man presented with a 45-year history of a week voice. This was result of polio which had left him with a right vocal cord palsy. The patient underwent a Teflon injection of the right vocal cord under general anaesthesia to improve the quality of his voice. In the immediate post-operative period, he suffered acute upper airway obstruction. The problem of acute upper airway obstruction following Teflon injection is considered and its management with nebulized adrenaline and a helium/oxygen mixture is discussed.",urgente,0.8405462503433228,0.1594537049531936,0.8405462503433228,urgent,155,False,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparative study of terbinafine versus griseofulvin in 'dry-type' dermatophyte infections. We conducted a double-blind comparative study of terbinafine, 250 mg twice daily, versus griseofulvin, 500 mg twice daily, for 6 weeks in chronic dermatophyte infections of the feet or hands. All but three patients (total 31) had Trichophyton rubrum infection. At 12-week follow-up, 100% of the terbinafine-treated group were free from infection compared with 45% of those treated with griseofulvin. Therapy in 75% of the terbinafine-treated group and in 35% of those given griseofulvin was rated as effective overall at long-term follow-up, although these differences were not statistically significant. Six months after treatment all nine patients whose skin had cleared with terbinafine therapy remained in remission versus only one of seven patients treated with griseofulvin. None of the patients in either group experienced serious adverse effects.",normal,0.094389334321022,0.9056106209754944,0.9056106209754944,non-urgent,225,False,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
Acute hypercalcemic crisis after an open heart operation. Acute hyperparathyroidism developed in a previously normocalcemic 64-year-old woman during the first week after a coronary operation. Prolonged QT interval in the electrocardiogram and hypercalcemia were documented on the fourth postoperative day. Neck exploration on the fifth postoperative day revealed a lower right parathyroid adenoma. Parathyroidectomy resulted in rapid and dramatic improvement of the clinical picture and normalization of laboratory values.,urgente,0.8646411895751953,0.1353587806224823,0.8646411895751953,urgent,121,False,1|5,neoplasms|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Adenovirus 12S E1A gene represses differentiation of F9 teratocarcinoma cells. The F9 teratocarcinoma cell line differentiates in vitro after treatment with retinoic acid and cAMP and has been a widely used model system for the study of the molecular events that are responsible for cellular commitment and differentiation during early development. Previous experiments have suggested intriguing parallels between the control of gene expression during F9 cell differentiation and the regulation of gene expression by adenovirus E1A. Transfection of a 12S E1A-expressing plasmid into terminally differentiated, nonproliferating F9 cells generates, at high frequency, colonies of dividing cells, each of which expresses E1A. Cell lines established from these colonies proliferate in the presence of retinoic acid and have lost the fully differentiated phenotype as characterized by the absence of expression of a series of differentiation-specific genes. We conclude that expression of the viral 12S E1A gene product interferes with retinoic acid-induced F9 cell differentiation. Moreover, the results suggest that the differentiation process, as defined by markers of terminal differentiation, may not be a permanent event but can be reversed by E1A expression.",normal,0.1664794087409973,0.8335205912590027,0.8335205912590027,non-urgent,263,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Allogeneic marrow transplantation in patients positive for hepatitis B surface antigen. Twenty patients who were positive for hepatitis B surface antigen (HBsAg) underwent allogeneic marrow transplant for malignancy or other underlying hematologic disease between 1975 and 1986. After transplant, one patient had serologic evidence of hepatitis B virus (HBV) reactivation whereas three patients had evidence of an immune response to HBV. Among four patients with serologic follow-up of 1 year or more, three remained positive for HBsAg and one became HBsAg negative. Six patients (30%) developed clinical evidence of venocclusive disease and seven patients (35%) developed acute graft-versus-host disease involving the liver, but the incidence of these complications was similar to that expected among patients who are not carriers of HBsAg. Three patients died with hepatorenal failure, but all three had venocclusive disease and the contribution of HBV infection to liver failure was unclear. Available liver specimens obtained at autopsy (six patients) or biopsy (two patients) all showed either HBsAg (one specimen) or hepatitis B core antigen (four specimens) or both (three specimens) by immunoperoxidase staining. Although HBV reactivation leading to hepatic failure has been reported among allogeneic marrow transplant recipients as well as other immunocompromised patients, we did not observe an increase in the incidence of severe liver disease after transplant among these 20 patients positive for HBsAg at the time of transplant, and do not consider positivity for HBsAg to be a contraindication to allogeneic marrow transplantation.",urgente,0.7192357778549194,0.2807641923427582,0.7192357778549194,urgent,398,True,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
Accessory arm--dysraphism or disparity? Case report. The case of a 3-month-old infant with an accessory third arm is reported. The extra appendage was attached at the midcervical region and was associated with posterior cervical dysraphism and a cervical cord lipoma. Possible theories of origin are examined.,atenção,0.304201066493988,0.6957989931106567,0.6957989931106567,non-urgent,84,False,1|3,neoplasms|nervous system diseases,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"An evaluation of sensory changes and pain relief in trigeminal neuralgia following intracranial microvascular decompression and/or trigeminal glycerol rhizotomy. Nineteen patients with trigeminal neuralgia were treated with either trigeminal ganglion glycerolysis or glycerolysis and intracranial microvascular decompression. All had a good degree of pain relief. Of those receiving glycerol alone (group A), 50% subjectively reported a mild reduction of fine tactile sensation. A similar response was reported by those treated with both glycerol and decompression (group B). The degree of sensory loss was so mild that thermal testing was useless as a discriminatory tool. The degree of sensory loss was not greater when both surgical procedures were performed than when the less-invasive trigeminal ganglion glycerolysis alone was used.",normal,0.1273747086524963,0.8726252913475037,0.8726252913475037,non-urgent,209,False,3,nervous system diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"5-year results of cisplatin and fluorouracil infusion in head and neck cancer. As part of the developmental process for the Head and Neck Intergroup trial of adjuvant chemotherapy for advanced resectable head and neck carcinoma, in 1981 the Radiation Therapy Oncology Group, Philadelphia, Pa, conducted two nonrandomized pilot studies using chemotherapy consisting of three courses of cisplatin and fluorouracil infusion. Chemotherapy was administered prior to surgery in 42 patients (induction) and after surgery in an additional 29 patients (sequential). The populations were roughly comparable with respect to tumor site and stage. Twelve of the 42 patients in the induction group and seven of the 29 in the sequential group are alive and with no evidence of disease at the last reported follow-up. The median survival was 31 months in the sequential group vs 20 months in the induction group. Only two of the 26 patients with less than a complete clinical response following induction chemotherapy are still alive. Twenty-seven of the 42 patients who received induction chemotherapy did not undergo surgery as initially planned. Despite the lack of surgery, at 5 years the survival between the two groups was not significantly different (27% for the induction group vs 23% for the sequential group).",atenção,0.4772063791751861,0.5227936506271362,0.5227936506271362,non-urgent,277,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
A comparison of midazolam with and without nalbuphine for intravenous sedation. The introduction of nalbuphine to intravenous sedation with midazolam added little to the quality of sedation for short operative procedures. There was a greater tendency for patients who received nalbuphine and midazolam to sleep in the afternoon after treatment compared with those who received only midazolam. Significantly more patients had nausea and vomiting in the midazolam/nalbuphine group than did patients in the midazolam-only group.,atenção,0.5167961716651917,0.4832037985324859,0.5167961716651917,urgent,127,False,3,nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
