medical_abstract,original_condition_labels,original_condition_names,original_splits,n_tokens,was_truncated,binary_prediction,urgent_score,nonurgent_score,confidence,triage_level,pseudolabel_model,pseudolabel_threshold,max_length
"1990 AcroMed Award in basic science. Cauda equina anatomy. II: Extrathecal nerve roots and dorsal root ganglia. Inconsistent data exist regarding the anatomy of the spinal nerve roots lateral to the thecal sac. A newly developed in situ technique was used to precisely define anatomic parameters on 20 fresh human cadavers. The take-off angle of the nerve roots from the thecal sac decreases from a mean of approximately 40 degrees from L1-L5 to 22 degrees at S1. The motor bundles are directly ventral to the sensory fibers within individual roots extrathecally. Dorsal root ganglia size varies with vertebral level. The majority of ganglia lie directly beneath the vertebral pedicles and one third overlie a portion of the lateral intervertebral disc. These previously undescribed relationships may aid in the understanding of lumbosacral neurocompressive disorders and are important to note during pedicle screw insertion, posterolateral decompression for spinal trauma, and paravertebral approaches for lateral disc herniations.",5,general pathological conditions,test,240,False,non-urgent,0.2057194709777832,0.7942805290222168,0.7942805290222168,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"1990 Ogura memorial lecture: moral dilemmas in head and neck cancer. Neither morality nor dilemma can be defined meaningfully in the concept of the practical management of head and neck cancer. Although both have important implications, particularly with regard to ethnic and social factors, they play a relatively minor role in determining management policy. With little knowledge of the intrinsic causes of cancer and with a treatment strategy limited to radiotherapy and surgery, our desire for cure must be tempered by concern to avoid any increase in patient privations. My philosophy, based upon the care of more than 3500 patients over almost 30 years, reflects some of the difficulties of applying the concept ""do nothing that may cause harm,"" while offering each patient the opportunity for long-term cure.",1,neoplasms,train,158,False,non-urgent,0.08426081389188766,0.9157392382621765,0.9157392382621765,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"1990 Volvo Award in clinical sciences. Lumbar spinal pathology in cadaveric material in relation to history of back pain, occupation, and physical loading. The occurrence of symmetric disc degeneration, anular ruptures, end-plate defects, vertebral body osteophytosis, and facet joint osteoarthrosis was examined radiographically and osteologically in 86 male cadavers for whom occupational, physical loading, and back pain histories were obtained from the men's families. History of back pain and the parameters of spinal pathology were related to the highest and lowest degrees of physical loading. In multivariate analyses, history of back injury was related to the occurrence of symmetric disc degeneration, anular ruptures, and vertebral osteophytosis. Symmetric disc degeneration was associated with sedentary work, and vertebral osteophytosis was related to heavy work. History of back pain was related to occupational physical loading after control for the effects of the other covariates. The results indicate that the least pathology stemmed from moderate or mixed physical loading, but the least back pain was associated with sedentary work.",5,general pathological conditions,train,257,True,non-urgent,0.045424722135066986,0.9545753002166748,0.9545753002166748,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"24-hour intragastric acidity and plasma gastrin after omeprazole treatment and after proximal gastric vagotomy in duodenal ulcer patients The relationship between suppressed gastric acidity and the increase in plasma gastrin levels after pharmacological and surgical treatment of peptic ulcer disease were compared in this study. Eight patients with chronic duodenal ulcer and referred for proximal gastric vagotomy were studied. 24-hour intragastric acidity and plasma gastrin levels were investigated in the same patients on three consecutive occasions: preentry without any treatment; after 4 weeks of administration of 20 mg of omeprazole daily, and 4-6 months after proximal gastric vagotomy. Intragastric acidity was slightly more reduced by omeprazole (94%) than after proximal gastric vagotomy (78%), with no difference found during the day or night with either. Plasma gastrin levels increased slightly more after proximal gastric vagotomy [284% (median, 2120 pmol.h/L; range, 733-2831 pmol.h/L)] than after omeprazole administration [186% (median, 1586 pmol.h/L; range, 495-2573 pmol.h/L)]. There is strong evidence that the increased plasma gastrin concentration following omeprazole treatment is caused by the reduced intragastric acidity. The slight increase in plasma gastrin concentration following proximal gastric vagotomy despite a lesser reduction in intragastric acidity may be the result of additional effects on gastrin release by the vagotomy. Both treatments resulted in a modest increase in plasma levels of gastrin that were far below the gastrin levels observed in achlorhydric patients, e.g., patients with pernicious anemia.",2,digestive system diseases,test,424,True,non-urgent,0.10447883605957031,0.8955211639404297,0.8955211639404297,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"32-gauge spinal catheters through 26-gauge needles Small diameter intrathecal catheters potentially combine the certainty of intrathecal injection and the advantage of repeatability, without the risk of a high incidence of headache after dural puncture. We report problems placing such catheters.",3,nervous system diseases,train,65,False,non-urgent,0.46224042773246765,0.5377596020698547,0.5377596020698547,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"4-Hydroperoxycyclophosphamide purging of breast cancer from the mononuclear cell fraction of bone marrow in patients receiving high-dose chemotherapy and autologous marrow support: a phase I trial. We designed an ex vivo bone marrow treatment for breast cancer patients receiving high-dose chemotherapy and autologous bone marrow support (ABMS), using 4-hydroperoxycyclophosphamide (4-HC), an active derivative of cyclophosphamide with known activity against breast cancer. This phase I bone marrow purging trial used ficoll-separated mononuclear cells (MNC) (devoid of granulocytes and RBCs), as opposed to the buffy coat. Twenty-five patients with metastatic breast cancer were studied. Patients received three cycles of the Adriamycin (doxorubicin; Adria Laboratories, Columbus, OH), fluorouracil, and methotrexate (Duke AFM) regimen, followed by marrow harvest. An MNC fraction of marrow was prepared and treated with 4-HC in concentrations of 20 micrograms/mL (four patients), 40 micrograms/mL (four patients), 60 micrograms/mL (nine patients), or 80 micrograms/mL (eight patients) and cryopreserved. Patients then received high-dose systemic cyclophosphamide, cisplatin, and carmustine, followed by infusion of the purged marrow. The study end point was marrow engraftment, defined as WBC count greater than 1,000 cells per microliter. At the first three dose levels (20, 40, and 60 micrograms/mL 4-HC), there was no significant delay in time to engraftment (19, 20, and 23 days, respectively) compared with the unpurged historical controls (17 days). At 80 micrograms/mL, engraftment was significantly delayed compared with the lower concentrations (P = .027), and further escalation of 4-HC was not attempted. A significant correlation was observed between the time of leukocyte engraftment and the 4-HC concentration (P = .017). With a methylcellulose-based tissue culture assay, we demonstrated a statistically significant correlation between the colony-forming unit-granulocyte-macrophage (CFU-GM) content in the purged marrow and the days to engraftment. Ninety-five percent of patients responded clinically to the entire program, 55% of them completely. Longer follow-up is required to assess the ultimate benefit of intensive therapy on long-term survival.",1,neoplasms,train,620,True,urgent,0.6463130712509155,0.3536869287490845,0.6463130712509155,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"5-Aminosalicylic acid is a potent inhibitor of interleukin 1 beta production in organ culture of colonic biopsy specimens from patients with inflammatory bowel disease. Interleukin 1 beta in biopsy specimens from inflamed colonic mucosa of patients with active inflammatory bowel disease was studied. Compared with normal colonic mucosal biopsy specimens, a significantly greater amount of interleukin 1 beta was present in rectal mucosa before (median (range) 4.3 (2.0-11.8) v 119.2 (30.1-286.8) pg/mg; p less than 0.01) and produced during organ culture (39.1 (9.4-106.8) v 97.6 (28.2-991.6) pg/mg; p less than 0.01). Values of interleukin 1 beta after culture correlated with concentrations of thromboxane B2. Organ culture of inflamed biopsy specimens in the presence of 5 aminosalicylic acid and dexamethasone reduced the amount of interleukin 1 beta detected. At the doses studied, 5 aminosalicylic acid also reduced the amount of leukotriene B4 detected after culture.",2,digestive system diseases,train,284,True,non-urgent,0.29916679859161377,0.700833261013031,0.700833261013031,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"5-year results of cisplatin and fluorouracil infusion in head and neck cancer. As part of the developmental process for the Head and Neck Intergroup trial of adjuvant chemotherapy for advanced resectable head and neck carcinoma, in 1981 the Radiation Therapy Oncology Group, Philadelphia, Pa, conducted two nonrandomized pilot studies using chemotherapy consisting of three courses of cisplatin and fluorouracil infusion. Chemotherapy was administered prior to surgery in 42 patients (induction) and after surgery in an additional 29 patients (sequential). The populations were roughly comparable with respect to tumor site and stage. Twelve of the 42 patients in the induction group and seven of the 29 in the sequential group are alive and with no evidence of disease at the last reported follow-up. The median survival was 31 months in the sequential group vs 20 months in the induction group. Only two of the 26 patients with less than a complete clinical response following induction chemotherapy are still alive. Twenty-seven of the 42 patients who received induction chemotherapy did not undergo surgery as initially planned. Despite the lack of surgery, at 5 years the survival between the two groups was not significantly different (27% for the induction group vs 23% for the sequential group).",1,neoplasms,train,277,True,non-urgent,0.47720637917518616,0.5227936506271362,0.5227936506271362,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"585 nm for the treatment of port-wine stains. Although the flashlamp-pulsed-dye laser has been successfully used for the treatment of port-wine stains (PWS) at 577 nm, a number of adult patients had incomplete clearance of their birthmarks with this treatment modality because of residual vessels lying beyond the 0.75-mm penetration depth of 577-nm irradiation. Fifteen adult patients, of whom nine were previously treated with limited success at 577 nm (group A), and six untreated patients (group B) were included in the study. For the group A patients, treatment with 585 nm produced successful clearance of the birthmark. For the six patients in group B, parallel treatment of different sites of the same lesion coupled with skin biopsies and histologic examination revealed that a change in the wavelength from 577 to 585 nm allowed the laser light to penetrate from the midreticular dermis into the subcutaneous fat. This explained the clearance achieved at 585 nm and not at 577 nm.",1,neoplasms,train,224,False,non-urgent,0.18122799694538116,0.8187719583511353,0.8187719583511353,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"6-[18F]fluoro-L-fucose: a possible tracer for assessing glycoconjugate synthesis in tumors with positron emission tomography. The potential of 6-[18F]fluoro-L-fucose (6-[18F]FFuc) for assessing glycoconjugate synthesis in tumors with positron emission tomography (PET) was investigated. Using the tissue sampling method with five tumor models, different time-radioactivity profiles were found: a nearly constant level in Lewis lung carcinoma (3LL) and different clearance patterns in others. Rapid clearance in normal tissues resulted in preferable uptake ratios for tumor imaging of brain and pancreas. Metabolic studies and the L-fucose loading effects on the tissue uptake proved the tracer to be a biochemically active L-fucose analog. Imaging of the intracranial rat glioma and 3LL in lungs or hepatomas in mice by autoradiography (ARG) and intramuscular VX-2 carcinoma in rabbits by PET was demonstrated. Using double-radionuclide ARG, similar distribution images of 6-[18F]FFuc and 14C-L-fucose but different tumor-to-liver uptake ratios were found. A metastasis model seemed to show a higher uptake of both tracers as compared to a primary tumor model.",1,neoplasms,train,317,True,non-urgent,0.48147115111351013,0.5185288190841675,0.5185288190841675,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
7th nerve palsy after extradural blood patch. We describe a patient who developed a 7th cranial nerve palsy following an extradural blood patch; full recovery followed. The likely aetiology is discussed.,3|5,nervous system diseases|general pathological conditions,test|train,49,False,urgent,0.6416215896606445,0.35837846994400024,0.6416215896606445,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"99TCm-HMPAO SPECT studies in traumatic intracerebral haematoma. Traumatic intracerebral haematomas are a common neurosurgical emergency. Their management, particularly the role of surgical removal, is controversial. Deterioration often occurs late, and is unpredictable. Eight patients with traumatic intracerebral haematomas were admitted to the neurosurgical unit to monitor their clinical state. All were studied within 48 hours of admission with single photon emission computerised tomography (SPECT), using the recently introduced radionuclide 99Technetiumm-Hexamethyl propylene amine oxime (99Tcm-HMPAO). At the time of the SPECT study, all the patients had been clinically stable. Three patients remained so; in the other five, the conscious level deteriorated, necessitating craniotomy and evacuation of the haematoma. In all the patients, the SPECT studies demonstrated perfusion defects that corresponded to the location of the haematoma, as demonstrated by computerised tomography (CT). However, in the five patients who subsequently deteriorated, the perfusion defects seen on the SPECT scan appeared larger than the haematoma, as seen on the CT scan. In addition, there was widespread poor retention of 99Tcm-HMPAO in the ipsilateral hemisphere. These differences were quantifiable. Interestingly, these differences were present at a time when the patients were clinically stable, before their deterioration. It is concluded that SPECT studies with 99Tcm-HMPAO are of possible use as predictors of late deterioration in the management of traumatic intracerebral haematomas.",3|5,nervous system diseases|general pathological conditions,train,390,True,urgent,0.861003041267395,0.1389969140291214,0.861003041267395,urgente,Yuvrajxms09/biobert-triage-classifier,0.7,256
"99mTc HM-PAO SPECT in pediatric migraine. 99mTC HM-PAO SPECT brain imaging was performed during the headache-free period in 19 young migraineurs, affected by common migraine (CM, 10 cases), classic migraine (CLM, 6 cases) and hemiplegic migraine (HM, 3 cases). SPECT findings were negative in all 10 patients with CM, in 3 cases of CLM and in 2 cases of HM. Positive findings in the remaining 4 patients (3 cases of CLM and 1 of HM) showed a decreased tracer distribution in the temporo-occipital regions (2 cases) and parietal regions (2 cases): the two with decreased temporo-occipital perfusion reported prodromal symptoms exclusively contralateral to the areas of hypoperfusion. An impaired regional cerebral vascular autoregulation may exist even during headache-free intervals in patients suffering from classic and hemiplegic migraine.",3,nervous system diseases,test,229,False,non-urgent,0.2520364224910736,0.747963547706604,0.747963547706604,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"99mTc-anti-CEA radioimmunoscintigraphy of lung adenocarcinoma. Anti-carcinoembryonic antigen radioimmunoscintigraphy (anti-CEA RIS) in colorectal adenocarcinoma has been reported to allow a better estimation of the local tumor extension than other radiologic methods. This study evaluated the clinical feasibility of a 99mTc-labeled anti-CEA monoclonal antibody (BW 431/26, Behring Institute, FRG) in 11 patients for staging of primary adenocarcinoma of the lung. The primary tumor size ranged from 3 to 8 cm with a mean of 4 cm. Mediastinal and hilar nodes were present in four patients, intrapulmonary metastases were present in two patients, and pleural and liver metastases were present in one patient each. The CEA levels were in the range of 2 to 265 ng/ml and elevated (greater than 5 ng/ml) in six patients. Planar scintigraphy was performed at 6 h and 24 h post injection (pi). Analog and digitized images were interpreted by two observers. One patient was imaged twice and experienced serum sickness due to human anti-mouse antibodies (HAMA) after the second study, which showed marked unspecific tracer uptake in liver, spleen, and bone marrow, but no specific uptake by the tumor and was excluded from further analysis. Visual interpretation identified the primary tumor clearly in seven patients. No tumor imaging was observed in two patients. Two patients were classified as having questionable imaging due to a poor separation of tumor uptake from mediastinal blood pool. The primary tumor could be clearly delineated in both patients after comparison with the chest radiograph. Thus, the overall sensitivity for imaging of the primary tumor was 82 percent. The average target/background ratio was 1.31 +/- 0.17:1 at 6 h pi, and 1.30 +/- 0.16:1 at 24 h pi. Hilar and mediastinal nodes were correctly suspected in three patients, but the cardiac blood pool hampered a clear interpretation. Intrapulmonary and pleural metastases were diagnosed in all cases. The single liver metastasis was missed because of the high unspecific tracer uptake. Planar anti-CEA RIS with 99mTc BW 431/26 was superior to computed tomography (CT) in one case with subtotal tumor resection. We summarize that at present, planar anti-CEA RIS with 99mTc BW 431/26 cannot be advised as a routine staging procedure in adenocarcinoma of the lung, but it may be helpful in the detection of residual or recurrent tumor tissue.",1,neoplasms,test,617,True,urgent,0.6601052284240723,0.33989477157592773,0.6601052284240723,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A 170-kDa membrane-bound protease is associated with the expression of invasiveness by human malignant melanoma cells. Malignant spreading of cancer cells requires cell surface proteases that cleave the crosslinked collagenous matrix of connective tissues. From correlating the morphologically defined invasiveness of tumor cells with the presence of specific membrane-associated proteases, we have identified a malignant human melanoma cell line, LOX, that invades crosslinked gelatin films in vitro and contains uniquely a neutral 170-kDa gelatinase in the cell membrane. A similar gelatinase was found in membranes recovered from culture media conditioned with LOX. The 170-kDa gelatinase is a wheat germ agglutinin-binding protein. The proteolytic activity is maximal at neutral pH, enhanced by EDTA and dithiothreitol, inhibited by the cysteine protease inhibitors N-ethylmaleimide, HgCl2, and phenylmethylsulfonyl fluoride, and can bind to an organomercurial adsorbent, suggesting that it is a neutral sulfhydryl-sensitive protease. This 170-kDa gelatinase of LOX cells was not found in a control melanoma cell line, SK-MEL28, or in 32 other tumor cell lines that did not show extracellular gelatin degradation. Thus, we have identified a large membrane-bound protease that may be a specific marker molecule for melanoma cell invasiveness.",1,neoplasms,test,360,True,non-urgent,0.3587629199028015,0.6412370800971985,0.6412370800971985,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A 27-year experience with splenectomy for Gaucher's disease. Gaucher's disease is an inherited metabolic disorder caused by the defective activity of acid beta-glucosidase and the resultant accumulation of glucosyl ceramide-laden macrophages in the liver, bone, and spleen. Splenectomy is the preferred treatment for patients with Gaucher's disease who develop massive splenomegaly with accompanying hypersplenism and/or mechanical pressure symptoms. The charts of 48 patients with Gaucher's disease undergoing splenectomy at our institution between January 1963 and December 1989 were analyzed to determine the short- and long-term results of this procedure. Thirty-five (73%) patients had total splenectomy, whereas 13 (27%) patients had partial splenectomy. There was one postoperative death (after total splenectomy), and 13 patients (27%) had postoperative complications. Eleven patients (23%) presented with accelerated bone disease after total splenectomy (mean follow-up: 96 months). No patients having partial splenectomy (mean follow-up: 25 months) developed progressive bone disease. Eight patients have died since surgery. All four deaths due to malignant disease occurred in patients after total splenectomy. The results of this largest-ever reported series of splenectomy for Gaucher's disease confirm that while either total or partial splenectomy can be performed with minimal morbidity and mortality, total splenectomy is accompanied by more aggressive bone disease and a predisposition to malignancy. Prospective, randomized trials are needed to substantiate whether partial splenectomy is indeed the treatment of choice for splenomegaly associated with Gaucher's disease.",5,general pathological conditions,test,399,True,non-urgent,0.4796879291534424,0.5203120708465576,0.5203120708465576,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
